file,mode,policy_mix,ok_inf,RMS_deg,p95_deg
direction_far_curve_sine_ref.wav,direction,n=210;w=0,35/35,0.8729423140984054,1.4095490403617335
direction_far_curve_chirp.wav,direction,n=0;w=210,35/35,1.7195929800196434,3.108603298787099
direction_far_curve_multitone2.wav,direction,n=210;w=0,35/35,0.938934667674799,1.6605380079742817
direction_far_curve_amfm_v2.wav,direction,n=0;w=210,35/35,1.1520384062995503,2.0462846213026404
