ch0,ch1,ch2,ch3
-2.6343057411325573e-05,-0.00033456431503101763,0.002523426376486178,-5.364683580014488e-05
-3.647095967030276e-05,-0.0003759586928249216,0.002626655680618553,-4.550795494198895e-05
-5.039662251769616e-05,-0.000375602435100722,0.0025282179007605626,-1.199248170876961e-05
-6.545143288109751e-05,-0.00033454711685805896,0.002282973330702251,3.11141466789375e-05
-7.944111903201203e-05,-0.0002707023858124231,0.0020022150363518815,6.38814258978165e-05
-9.145734873384088e-05,-0.00021109953217239054,0.0018078683102986798,7.062923553781129e-05
-0.00010205831073332696,-0.00018048275903533636,0.0017838541537561203,4.655678846227367e-05
-0.00011276256705692429,-0.00019101784780268258,0.0019439575397709706,-1.5730262647100724e-07
-0.00012509528216716722,-0.0002373792583122195,0.0022284105529114945,-5.1660426407256594e-05
-0.0001396164074821804,-0.0002991862724202308,0.002529662129534288,-8.77665373724651e-05
-0.00015536761253328723,-0.0003496795805821738,0.0027362497470498487,-9.428688109532101e-05
-0.000169996686001516,-0.00036695012915710645,0.002776880659817099,-6.889703018918518e-05
-0.00018052997274802646,-0.00034301729722877906,0.002647314784943275,-2.2110396162436694e-05
-0.0001844859441679427,-0.000287005962658661,0.0024099958215534206,2.7042201993751223e-05
-0.00018087227947568142,-0.00022117210908735238,0.0021674734103564047,5.883564702508187e-05
-0.00017064811638128321,-0.0001715166179168566,0.002020985299532492,6.0939320021023875e-05
-0.0001564468116678296,-0.00015695788181638998,0.002031058123779239,3.343164988844308e-05
-0.00014165482328453517,-0.0001815869103919572,0.0021956142296856926,-1.1320597387636097e-05
-0.0001292055761610234,-0.0002331927717836987,0.002453598279966926,-5.385166671700029e-05
-0.00012056503591831102,-0.0002885983323609605,0.00271171893571771,-7.56946296559725e-05
-0.00011530963395734687,-0.0003235023172496309,0.0028827728984185466,-6.703383805613613e-05
-0.00011145822118663101,-0.00032266914697603056,0.0029197819564158525,-3.075484153283942e-05
-0.0001064155524233356,-0.0002862042827635478,0.002832381874490298,1.876501620730461e-05
-9.81394465676866e-05,-0.0002293256067419057,0.002679496568489176,6.160356181111654e-05
