ch0,ch1,ch2,ch3
-0.0001835567862062547,-0.00015104346788101877,-8.780503339344409e-05,-0.00017389202382615864
-0.00019001459100362285,-0.00014688524373681656,-7.838242900301204e-05,-0.00017176706886306778
-0.0001983661024465089,-0.00014026414970648004,-7.041101908939612e-05,-0.00017114818494976024
-0.0002035250646631125,-0.00013209248254073642,-6.530085248335205e-05,-0.00017071166112070726
-0.00020169997056307789,-0.0001239197620571883,-6.326976353806645e-05,-0.00016903846270798373
-0.00019196828652063257,-0.0001172974745868409,-6.326315100399927e-05,-0.00016520250655023593
-0.00017666765905091425,-0.00011313914162089551,-6.339856208292024e-05,-0.0001591586436489133
-0.00016043866414595194,-0.00011133943037019717,-6.174778603245182e-05,-0.00015176776350889643
-0.00014831134710198597,-0.00011081109472708267,-5.713151244292943e-05,-0.00014444584727182842
-0.00014362470388146588,-0.00010992749393784647,-4.959897492957813e-05,-0.00013857987283707454
-0.0001466396879403948,-0.00010719119139634796,-4.039743471196235e-05,-0.00013495146496875611
-0.00015442184445591716,-0.00010185455066913027,-3.1448222076801285e-05,-0.00013340791946059782
-0.00016204601166196946,-9.42358191859784e-05,-2.454938105413574e-05,-0.00013291941100295
-0.00016462868090447993,-8.559759114660712e-05,-2.06359780325965e-05,-0.00013200184923137584
-0.000159349728675248,-7.763384963709822e-05,-1.9402766111564773e-05,-0.00012933265359472198
-0.0001466271217253185,-7.177366413840206e-05,-1.9442065616699297e-05,-0.00012430494635614492
-0.0001299560157771156,-6.858726227166375e-05,-1.8835993013710355e-05,-0.000117288896912187
-0.0001144745249465613,-6.754085963094503e-05,-1.595515006666765e-05,-0.0001094884835584212
-0.00010484510878479899,-6.72053906598264e-05,-1.0132491345162843e-05,-0.00010244901372912993
-0.00010332519536818043,-6.583825851675003e-05,-1.9349308401327148e-06,-9.741643538145259e-05
-0.0001088250079743754,-6.210249667308772e-05,7.076894123437139e-06,-9.481310819927334e-05
-0.00011734491122487953,-5.562827541047855e-05,1.4998452022811984e-05,-9.40491071360159e-05
-0.000123615733547593,-4.718295466878586e-05,2.0370310746775123e-05,-9.375119117522278e-05
-0.00012326810923961751,-3.837401667241419e-05,2.278030342158302e-05,-9.231922275369613e-05
-0.00011463661140621601,-3.100033322058263e-05,2.3031957416190345e-05,-8.858319642982091e-05
-9.94529890965476e-05,-2.6313261640651883e-05,2.281240983016252e-05,-8.229009857402964e-05
-8.213969057180564e-05,-2.4489622491473233e-05,2.3999280810401216e-05,-7.421764496066789e-05
-6.799205621950324e-05,-2.4535889968926687e-05,2.7893273872329084e-05,-6.586446365520072e-05
-6.099698729905394e-05,-2.466941985444955e-05,3.4691532619380346e-05,-5.88411054587663e-05
-6.218756504719914e-05,-2.302822350389727e-05,4.341541543915984e-05,-5.42111727192267e-05
-6.921373868022575e-05,-1.8424847462904063e-05,5.2318177957606966e-05,-5.2054674793576864e-05
-7.730864133077484e-05,-1.083843442175323e-05,5.960120322016319e-05,-5.1436062314108274e-05
-8.125444320049606e-05,-1.4419169666508055e-06,6.414283948290485e-05,-5.079335198380835e-05
-7.753841671612974e-05,7.852211384514634e-06,6.594203058796829e-05,-4.859036577420774e-05
-6.580994594435042e-05,1.5149159596698596e-05,6.609922837064294e-05,-4.3963487940931636e-05
-4.903613129346451e-05,1.93295550636082e-05,6.634880835290277e-05,-3.709388576673576e-05
-3.228958668726129e-05,2.0502565894102453e-05,6.834079762519074e-05,-2.9147104190903556e-05
-2.066616772936102e-05,1.9970443186484107e-05,7.2969828304224e-05,-2.1799529213814344e-05
-1.7189893949137725e-05,1.971665383990992e-05,8.00257051774417e-05,-1.654266331674114e-05
-2.1568555534973242e-05,2.162181527341463e-05,8.83040028279378e-05,-1.4050562671174996e-05
-3.031339476917619e-05,2.6721664788191025e-05,9.612400889356292e-05,-1.3873389078418539e-05
-3.8173910372743406e-05,3.4804430577371054e-05,0.00010203443512608185,-1.4588891518384239e-05
-4.029616522969358e-05,4.450779138659249e-05,0.00010541302824956708,-1.4356723581203672e-05
-3.421408552109102e-05,5.387363651829366e-05,0.00010671394843196153,-1.165424582981868e-05
-2.0851847872612242e-05,6.113406222562191e-05,0.00010726532234542449,-5.8954396686405354e-06
-4.123666656451018e-06,6.540958079326612e-05,0.00010870621330199052,2.320780349318141e-06
1.0703101025027627e-05,6.70379553582485e-05,0.00011229986699665172,1.14375375494727e-05
1.9203892884532016e-05,6.740403246482428e-05,0.00011840812072366758,1.955384141558359e-05
1.9642050731347887e-05,6.834527546344192e-05,0.0001263417853504468,2.5178589194604735e-05
1.3696981948294702e-05,7.138080715064933e-05,0.00013464407494362992,2.7819531501190525e-05
5.770306484606026e-06,7.708278080694924e-05,0.00014168501314576362,2.8167936420633123e-05
1.1533805862449674e-06,8.484873714781284e-05,0.00014631841866528543,2.7803692622104382e-05
3.81251447154296e-06,9.316700205005778e-05,0.00014833101182760012,2.854105216553636e-05
1.470982582646766e-05,0.0001002626608117312,0.00014850307496604306,3.168230038880427e-05
3.136030531920571e-05,0.00010485349886494444,0.00014826323457414249,3.748498267939148e-05
4.881790222479283e-05,0.00010669897073780374,0.00014908780639081708,4.506181089879483e-05
6.169390063204765e-05,0.00010671033806749678,0.000151898176117395,5.2755929215376335e-05
6.638242241639215e-05,0.00010657205926208762,0.00015670605432857652,5.883964239425431e-05
6.257761891930347e-05,0.00010802858646514644,0.00016264907340241886,6.225141541491374e-05
5.345317043146567e-05,0.00011213256745813346,0.00016839402910547962,6.306851861966728e-05
4.4420453115235855e-05,0.0001187707663977606,0.0001727315181067955,6.251851648764753e-05
4.096350762569775e-05,0.00012667318385461523,0.00017510759902831814,6.251903869617032e-05
4.642801403348959e-05,0.00013391325596539107,0.0001758671974639251,6.492632195316105e-05
6.066218346190849e-05,0.000138703195287343,0.00017610717156573688,7.079135182643176e-05
8.006123280207729e-05,0.0001401623954840188,0.00017720211121191078,7.992022836527009e-05
9.899588473781578e-05,0.00013874116315051703,0.00018020388514059394,9.091387129802296e-05
0.00011204321163754824,0.0001361166614289751,0.00018536932072958125,0.0001016709931335242
0.0001161150447031165,0.00013458930635240575,0.0001920173558277189,0.00011015495719557877
0.00011162645112306835,0.00013621057068231878,0.00019877998684377993,0.00011512345071556596
0.00010224351213462308,0.00014198468573891742,0.0002041474666402924,0.00011653980308779454
9.333164935149986e-05,0.00015146110656687802,0.00020708539700111002,0.00011551649684132445
8.975359655096187e-05,0.00016288133820737327,0.00020747021835185522,0.00011382997912258799
9.392379622341461e-05,0.00017382419973879445,0.00020616269299852073,0.00011321408776794964
0.00010490970814994497,0.00018209627258590488,0.00020468597277777632,0.00011471967924977556
0.0001189308567716288,0.00018651871381946718,0.0002046353190029767,0.00011838993933123714
0.0001310268411859556,0.0001873061309435849,0.00020705503301784653,0.00012336295152501017
0.00013718594213146936,0.0001858992741116377,0.0002120309591283568,0.00012833452643149878
0.0001360435554307554,0.00018433310405797845,0.0002186596854690595,0.00013216962547276572
0.00012944761486514056,0.00018440597967387534,0.00022540455236136694,0.0001343987900761191
0.0001216659484452366,0.000186989853164031,0.00023069533124031767,0.00013539575242952143
0.00011757807139491127,0.0001917563174646305,0.0002335344211092591,0.00013617569770562037
0.00012061506378408741,0.00019741701803653242,0.00023387410677985342,0.00013791783165813427
0.00013131170953932644,0.00020236262785723255,0.00023262409049605278,0.00014143080785588603
0.00014707483400836657,0.00020542076624583024,0.00023129616631021688,0.0001467972783259124
0.00016326083732269504,0.00020640714376671948,0.00023143340152788046,0.00015334876872726607
0.00017510778051960086,0.0002062341964953751,0.00023404901645554532,0.00015997287993651035
0.00017971159490475863,0.00020652958036291788,0.00023928671383032646,0.000165607351931156
0.00017721993659215946,0.00020892464497342111,0.00024641848643737994,0.0001696943441600353
0.00017074666696935544,0.00021431387758758316,0.0002541595500730742,0.00017238871492266175
0.0001650464296707771,0.0002224015567084594,0.00026115920282387614,0.00017442691270226802
0.00016450760499000638,0.00023173483778708356,0.0002664684800626517,0.00017671847610427338
0.00017130604483073675,0.00024022145886121345,0.00026981010676099815,0.0001798510986231374
0.00018449279243098159,0.0002459284164630475,0.0002715685541969,0.00018374463360032976
0.0002003957869737569,0.0002478390826447926,0.00027253624663891446,0.00018762764763965295
0.00021416335890582158,0.0002462599238935649,0.00027354603284603096,0.00019036711714105238
0.00022179783827107682,0.00024270909569057842,0.00027515267924130976,0.0001910191508780329
0.00022182220378355166,0.00023932985078659692,0.00027748790972821277,0.000189358270221757
0.00021587796764517293,0.00023806518543906686,0.00028032544472126816,0.00018613610141137056
0.00020800361637063596,0.00023992671922804572,0.000283295766859315,0.00018292487097317043
0.0002029005228050395,0.00024465071446068583,0.00028612779741737406,0.00018157592933717125
0.00020392248984170067,0.00025087409914094187,0.00028879223623701905,0.00018349542128211216
0.00021164428439187158,0.00025674960965383666,0.00029147736455027197,0.0001890331816872706
0.0002236218116157783,0.0002607400455350399,0.00029441501920246353,0.00019725249252554224
0.0002354525233850104,0.00026226092431192415,0.0002976514611562342,0.00020620377666726638
0.00024269086772367963,0.0002619072211243068,0.00030088937280282543,0.0002136208512400991
0.00024280436974637425,0.00026117511892035164,0.00030349848197198503,0.00021777805243305016
0.00023632965306143085,0.0002618004469774407,0.00030471579995780323,0.00021816753249554073
0.00022671925225614415,0.000264993960163995,0.0003039662377552648,0.00021571568519757577
0.00021892305038755805,0.0002708941903700121,0.0003011710319016723,0.00021243638566432153
0.00021729076125621234,0.00027846517378001673,0.0002969042657325607,0.00021064627729747674
0.00022368342152690422,0.0002858789288177552,0.0002923119075998945,0.0002120505895843311
0.00023661028153480204,0.0002912203399117637,0.0002888016993997482,0.0002170692300096956
0.0002517864661806573,0.000293220131345898,0.0002876069011170275,0.00022468287180784502
0.0002639082522215728,0.00029171491941944183,0.0002893824216982088,0.000232870313468133
0.00026891699559908767,0.00028765370320336936,0.00029398443055211627,0.0002394647085091628
0.0002657941450313235,0.0002826654075616421,0.0003005165271147258,0.00024307772699197483
0.00025710219630545317,0.000278388208425899,0.00030762446856061765,0.00024370357776012583
0.0002479969205544698,0.00027585829265411744,0.000313928314846665,0.00024273879119276337
0.0002440779919651477,0.00027522167143960745,0.00031843289668612856,0.00024239198280984545
0.0002489512915477294,0.0002758824553515507,0.0003207728309764452,0.0002447147026153496
