ch0,ch1,ch2,ch3
1.2516768328481418e-06,-8.205542400531061e-05,-8.868833851746771e-05,-5.712928870768038e-05
-3.4241909954425923e-06,-7.756382200901815e-05,-8.980664284164016e-05,-6.044513701349962e-05
-1.1423176499370988e-05,-7.383204561634622e-05,-9.121915411064191e-05,-5.7574310250413754e-05
-2.020527425838136e-05,-7.313502068419746e-05,-9.313270792801168e-05,-5.0673359958296074e-05
-2.6922717574412295e-05,-7.647164568529667e-05,-9.556112532520212e-05,-4.356959282520801e-05
-2.958910149159432e-05,-8.316056831927812e-05,-9.830697513118201e-05,-4.01666519804938e-05
-2.788984429679287e-05,-9.113521502598844e-05,-0.00010102800267747453,-4.282290982877225e-05
-2.3303479788664653e-05,-9.781085658062364e-05,-0.00010336690500004509,-5.1376257330228094e-05
-1.848747347462065e-05,-0.00010116029773736394,-0.00010509583031202151,-6.321820847186442e-05
-1.6183991056596182e-05,-0.00010055078663053136,-0.00010621763310782932,-7.438311262680336e-05
-1.8096502812962054e-05,-9.699675086078199e-05,-0.00010697967316598367,-8.119687009077483e-05
-2.419769131059953e-05,-9.272747808508706e-05,-0.00010778880152284743,-8.179887931520041e-05
-3.2749886989175895e-05,-9.025358725217667e-05,-0.00010905593664584757,-7.690612491248548e-05
-4.102568272977303e-05,-9.132278844278742e-05,-0.00011102937533343199,-6.95053449095583e-05
-4.642946649078617e-05,-9.619883131102276e-05,-0.00011368439810969448,-6.360540213984551e-05
-4.755798091567577e-05,-0.00010356073726011292,-0.00011671784949799242,-6.257149819673027e-05
-4.476569234444864e-05,-0.00011106025777097087,-0.00011965621672623846,-6.773416597297913e-05
-4.000634016529278e-05,-0.00011630222205784703,-0.00012203953984146423,-7.784882985559217e-05
-3.602023481193365e-05,-0.00011783843675749941,-0.00012360999671616045,-8.962602672578986e-05
-3.5204835790649225e-05,-0.00011576262189685427,-0.00012442786811259188,-9.910692389548947e-05
-3.863408918248354e-05,-0.00011166179262458314,-0.00012486300590094305,-0.00010330898537569801
-4.562819820969511e-05,-0.00010794787015668407,-0.00012545826290986104,-0.00010145738575846911
-5.404717364206304e-05,-0.00010685026510562595,-0.00012671393099354168,-9.529331147040403e-05
-6.118327984246303e-05,-0.00010948927441755064,-0.0001288775582846905,-8.833633006694258e-05
-6.48821704515802e-05,-0.00011541442144118131,-0.0001318259955144053,-8.441311582699446e-05
-6.443054125446668e-05,-0.0001227971844995759,-0.0001350933220479857,-8.606792152320508e-05
-6.084646937040575e-05,-0.00012919549609889767,-0.0001380412205381537,-9.351594110171171e-05
-5.645586703935043e-05,-0.0001325710705611541,-0.0001401097139182234,-0.00010457136831232543
-5.393231771804981e-05,-0.00013213761216614931,-0.00014105006027302918,-0.00011557425207021259
-5.5197040924954066e-05,-0.0001286900099363679,-0.00014104402020675738,-0.00012292462954170626
-6.0631083587572745e-05,-0.0001242807583997172,-0.00014065552326477087,-0.0001245818118423515
-6.89211959953777e-05,-0.00012137971622623361,-0.00014062659565432895,-0.00012090456508501542
-7.759890815403452e-05,-0.00012186507319901972,-0.00014159328891141944,-0.00011448554017652566
-8.404745994711904e-05,-0.00012626012992011682,-0.00014383295107809767,-0.00010905388613587108
-8.656070542835832e-05,-0.000133525980128044,-0.00014714573004799366,-0.00010790780889315189
-8.501975310930564e-05,-0.00014148918861133013,-0.00015092242179748897,-0.00011253263098467219
-8.091351301190436e-05,-0.00014772264082337568,-0.0001543769049367184,-0.00012197988658987138
-7.670144555264931e-05,-0.00015051478931340508,-0.0001568539044592219,-0.00013326369886819392
-7.478788393163832e-05,-0.0001495319751518471,-0.00015808961086038515,-0.00014260610459723667
-7.653550668563081e-05,-0.00014591089856110241,-0.00015831850438722734,-0.00014701029206994214
-8.172608211362597e-05,-0.0001417566637594185,-0.0001581796447800798,-0.00014550634188496297
-8.86883003059681e-05,-0.00013926605114191934,-0.00015845640294902843,-0.00013955290493740353
-9.503390017206998e-05,-0.00013984467146701553,-0.0001597525562832531,-0.00013243126196393011
-9.869006804847749e-05,-0.00014358031155821586,-0.00016223615927501246,-0.00012788750554315094
-9.879318476476942e-05,-0.00014927842153060288,-0.00016555783289458415,-0.00012858945159752405
-9.606730358374203e-05,-0.00015502701906750145,-0.0001689809308988629,-0.00013503862141145965
-9.252606171387297e-05,-0.0001590382986673462,-0.0001716748661001947,-0.00014538488105912185
-9.061981738007588e-05,-0.00016040460049692113,-0.00017305485609162236,-0.0001562137674892979
-9.218321953888324e-05,-0.00015945120207205116,-0.00017302995081740642,-0.0001639722905039542
-9.762502607900997e-05,-0.00015754626454518074,-0.0001720562508770752,-0.00016643638233733058
-0.00010570513991907092,-0.00015646210963810763,-0.00017097034727985683,-0.00016361052270176454
-0.00011400264844213333,-0.00015757210647903149,-0.00017066768543092176,-0.00015769101735291173
-0.00011989209373255587,-0.00016123373669452645,-0.0001717548294965863,-0.00015211695090720464
-0.00012163147054044283,-0.00016662407715819323,-0.00017431640822561237,-0.0001501124772896629
-0.0001191133585928146,-0.00017209633904290416,-0.00017789119029098626,-0.00015333280190927754
-0.00011396290112196411,-0.00017590043048307924,-0.0001816658041515234,-0.0001611781825687162
-0.0001089301127690869,-0.00017695339338923518,-0.000184804527834819,-0.00017105736222308932
-0.0001068120381296279,-0.00017532397584740962,-0.00018677709452834452,-0.00017948368794319184
-0.00010933484979099126,-0.00017221852023867698,-0.00018754779169162863,-0.0001835406744805833
-0.00011644696326065515,-0.00016947009435380164,-0.00018754840040590196,-0.00018210313886308385
-0.00012631206406486908,-0.00016874752029136123,-0.00018745023233494905,-0.00017630669271782027
-0.00013601064679475176,-0.0001708237257173686,-0.0001878374609416923,-0.00016907586538484636
-0.00014267361439785763,-0.00017522073021494758,-0.00018892759702121478,-0.00016391520918836383
-0.00014459723970987565,-0.00018039024999617816,-0.00019046562134472254,-0.0001634731117764904
-0.00014189607371940178,-0.0001843610891689158,-0.00019184298570585658,-0.00016847771094509215
-0.0001364362851231697,-0.00018558383369108873,-0.0001923928940050744,-0.0001774824935653035
-0.00013108107351445458,-0.0001836155302425798,-0.0001917320178213822,-0.00018751570357884273
-0.0001285550797178965,-0.00017935028829105644,-0.00018999244255245816,-0.00019534810658933548
-0.00013038485662050006,-0.00017469051035279022,-0.00018782985909628178,-0.00019883764677509864
-0.00013633725975891245,-0.00017178878218610785,-0.00018618903630663198,-0.00019778379736579333
-0.00014457227141414272,-0.00017217311667004843,-0.00018591589258357068,-0.00019393812269758207
-0.00015243550945181035,-0.00017612057341497104,-0.00018737991750346654,-0.0001901790008195301
-0.0001575572852363712,-0.00018254310507082136,-0.00019027672538280988,-0.00018921402493676754
-0.0001588044838852747,-0.00018943627825768444,-0.00019371175329174544,-0.00019237284197413257
-0.00015669711820503974,-0.0001947053158342873,-0.00019654844520968807,-0.00019901217223398655
-0.00015312543783682625,-0.00019702309783544314,-0.00019788630241645774,-0.00020679135003458173
-0.0001504936485671708,-0.00019635929179285508,-0.00019746741845018964,-0.00021270288024337976
-0.00015065350783996192,-0.00019395634656304618,-0.00019582686332803392,-0.00021441691554167892
-0.0001540780582372085,-0.00019176043276009232,-0.0001941006965317843,-0.00021135966978299815
-0.00015962681277728477,-0.00019154653976610455,-0.00019354834705707284,-0.00020505334080601092
-0.000165009164564796,-0.00019410950620015605,-0.00019497505238161623,-0.00019855485172779705
-0.00016776263085793643,-0.00019886994162296944,-0.00019829874254740797,-0.00019521279895687223
-0.00016634561653128494,-0.00020407362255760956,-0.0002024642615443557,-0.00019725548703949415
-0.0001608900159236501,-0.000207514751840554,-0.0002057767377455545,-0.00020480341554978776
-0.00015329052913913788,-0.0002074904542827302,-0.0002065542869250632,-0.00021573152287471015
-0.0001465728211928975,-0.00020358958529086927,-0.0002038571965862503,-0.00022645838479052965
-0.00014377482372201448,-0.00019697839135580323,-0.00019799783040793436,-0.00023335553374942463
-0.000146776409871827,-0.00019004622057534025,-0.0001906006312526144,-0.00023420976928615277
-0.00015554060560879135,-0.00018553505612333397,-0.00018414571061252903,-0.00022914337624734406
-0.00016807214782800603,-0.0001854904098181414,-0.00018113185046689066,-0.00022061384398324563
-0.0001811187588271665,-0.00019044984170744753,-0.0001831556459809553,-0.0002124869081436382
-0.00019134865206831496,-0.00019919578137800515,-0.00019025594987286207,-0.00020855125599122254
-0.0001965507898984512,-0.00020917692964863492,-0.00020079014479306052,-0.00021106638103478553
-0.00019639653887733397,-0.00021743715909012726,-0.00021191745026845777,-0.00021991645177662318
-0.00019247525387186895,-0.0002216898861429818,-0.0002205353883855789,-0.00023269258087613414
-0.00018760221936725183,-0.00022112033942578703,-0.00022433738497408106,-0.00024564883801559854
-0.0001846813635876084,-0.0002166096291582087,-0.0002226038597239405,-0.0002551298818939292
-0.00018557486147213103,-0.0002103068292765545,-0.0002164313930318549,-0.0002588918919477529
-0.0001904211096469975,-0.00020473371856909216,-0.00020831227484858833,-0.00025680220484204175
-0.00019765780117364127,-0.00020178720668149238,-0.0002012212363104826,-0.00025067480579805783
-0.00020472327383803664,-0.00020203562149661083,-0.00019755264026065714,-0.00024336097993231972
-0.00020914069671997383,-0.00020457728828918468,-0.000198306357594352,-0.00023751418825294413
