ch0,ch1,ch2,ch3
2.6157142535648825e-05,-3.8559649538194574e-05,-2.2584714008511142e-05,-1.989671777546942e-05
2.8079327802284964e-05,-5.323066022377976e-05,-1.8219635159522074e-05,-8.619842123580579e-06
2.960257271578115e-05,-5.208773251047516e-05,-1.0351453006485212e-05,6.925349636810463e-06
3.2850614320997784e-05,-3.4025743068211156e-05,1.2163443272594776e-06,2.4062785030309897e-05
4.044729102836708e-05,-4.4138114442260346e-06,1.6471302500875584e-05,4.092233871816342e-05
5.486716043243134e-05,2.6781093344807605e-05,3.5208969262845446e-05,5.740398621528753e-05
7.776139035575724e-05,4.87069710458643e-05,5.700740547120997e-05,7.528121524924547e-05
0.00010952738243752425,5.3654486877108276e-05,8.11720884937861e-05,9.739779179324115e-05
0.0001492947912143383,3.974658272032361e-05,0.0001066813867108829,0.0001262948085331561
0.00019533124248660716,1.1190145332462542e-05,0.00013216729498222168,0.00016284690341616948
0.0002456988619049527,-2.400062052554386e-05,0.00015595561906933675,0.00020548685242671727
0.0002988899053909533,-5.7851190251700935e-05,0.0001761681764343992,0.0002503560107483538
0.00035417967030226816,-8.623351009515168e-05,0.00019086537760104605,0.00029233452757770895
0.0004115536784896068,-0.00011103617012184208,0.00019819061172476893,0.0003265392752458962
0.00047124449051294537,-0.00013977791553725083,0.00019647540210709913,0.0003496814684226801
0.0005330771212487262,-0.00018280399186979338,0.0001842779339809586,0.0003607321924558038
0.0005959027117414251,-0.0002492091961004139,0.00016035247714457634,0.0003606301055350536
0.0006573643391878936,-0.00034316434466878654,0.00012357393377110393,0.0003511634149073739
0.000714101694111624,-0.00046216226109833947,7.285971781800793e-05,0.00033350292205536203
0.000762320133363803,-0.0005979101811141307,7.133047773943968e-06,0.0003070109494884843
0.0007984998660122145,-0.0007395030125349478,-7.464368597517868e-05,0.00026883983239944786
0.0008199649442804935,-0.0008775678333801662,-0.00017336392103126097,0.00021450823811264286
0.0008250922730742016,-0.0010076656239194626,-0.0002896271674021622,0.0001392378934468308
0.0008130923091729803,-0.0011315402737236968,-0.0004235900620072272,3.951534940632717e-05
0.0007834720329695233,-0.0012556933325986175,-0.0005748653126058439,-8.575436536248371e-05
0.000735422554064058,-0.0013878696279127078,-0.0007424991769716394,-0.0002349711532128873
0.0006674037889010109,-0.0015329064760994937,-0.0009250300164994618,-0.0004045496989755204
