ch0,ch1,ch2,ch3
-5.216930932411268e-05,-2.412744056830285e-05,-2.3598918856893025e-05,-1.8916898205212362e-05
-5.4410104746549504e-05,-3.2862091867938426e-05,-2.03555948329881e-05,-2.6864970897877427e-06
-4.773494276183454e-05,-4.2165824335266104e-05,-1.1531301169542818e-05,1.0183270645114373e-05
-3.192876017787949e-05,-5.080532179460584e-05,-9.170818295878291e-07,1.5324377511283238e-05
-9.381721783274788e-06,-5.897235887139529e-05,6.7872799860979605e-06,1.191929014449089e-05
1.5810888700062975e-05,-6.866945932701429e-05,7.434013299306708e-06,2.6577690986906433e-06
3.9330616802779605e-05,-8.326002384154152e-05,-1.3537004248109774e-06,-7.819793362284777e-06
5.809357409425342e-05,-0.0001063570438229744,-1.9688616939878e-05,-1.5332791109101684e-05
7.109588877862727e-05,-0.0001405065963385188,-4.583890642934074e-05,-1.8408954839344016e-05
7.93178230699132e-05,-0.0001862122290778312,-7.737241718321075e-05,-1.9420537067882382e-05
8.474946461611843e-05,-0.0002417065718471334,-0.00011254037415287833,-2.411742377558812e-05
8.896361438970324e-05,-0.0003035658840080391,-0.00015131740021346457,-3.973082568578534e-05
9.184583407678693e-05,-0.0003679121175357847,-0.00019565730761672562,-7.241489613311891e-05
9.102282561246344e-05,-0.0004317026170581606,-0.00024884843332687034,-0.00012507030284832077
8.223839441406922e-05,-0.0004935721590634823,-0.00031422479817688753,-0.00019643821493823578
6.053299988717509e-05,-0.0005538804382398954,-0.0003937564854054332,-0.0002818292277630627
2.175120508660089e-05,-0.000613951470585572,-0.00048709415503572773,-0.0003751761822130689
-3.6232227360460945e-05,-0.0006748302792145555,-0.0005914572060376488,-0.0004715525647876473
-0.00011305821497187285,-0.0007360850564624433,-0.000702409170938445,-0.0005691062728104268
-0.00020637131114037421,-0.000795165163040179,-0.0008152001386941832,-0.000669601949247256
-0.0003130308105862706,-0.0008475945214390102,-0.0009261244237547261,-0.0007773433136443186
-0.0004305295484952204,-0.0008879328036126566,-0.0010333378737341636,-0.0008969204247633034
-0.0005580229367006806,-0.0009111183354051366,-0.0011368046810353305,-0.0010307163051042068
-0.0006965361863147945,-0.000913649622127366,-0.001237405212665743,-0.0011772095959228235
-0.0008482610462621359,-0.0008941319335127873,-0.0013355848271816573,-0.0013307821406959297
-0.0010152321268450115,-0.0008529818381936005,-0.0014301149632792165,-0.0014831182787042319
-0.0011979303781699535,-0.0007914341903726418,-0.0015174929052459984,-0.0016256241415707473
-0.0013943916748136165,-0.0007102858585182892,-0.0015922440771179436,-0.0017518737149477825
-0.001600190043667571,-0.0006089177419554281,-0.00164801897281458,-0.0018590790763706733
-0.0018093048080123353,-0.0004850172910300099,-0.0016790495396472038,-0.0019479892791397502
-0.002015518082457257,-0.0003351286140176879,-0.001681382309737245,-0.0020212770864662666
-0.0022137733884047828,-0.00015581041097700865,-0.0016533988365257102,-0.002081103327674416
-0.0024009461036790802,5.5071330129052853e-05,-0.001595429485723332,-0.0021268928858330094
-0.0025757229071077803,0.0002974431720224602,-0.0015086421053401855,-0.002154270688765947
-0.002737657839708918,0.0005688773163809169,-0.0013936871423130825,-0.0021556254710122236
-0.0028858138559054725,0.000865242165092428,-0.001249681097768629,-0.002122092655984953
