window_index,timestamp_s,status,confidence,azimuth_deg,elevation_deg,x_m,y_m,z_m,used_pairs,rejected_pairs,tdoa_policy,informative,message,reason,preprocess_s,gcc_s,localize_s,total_s,runtime_error
0,0.096,ok,0.9913330909693491,-27.493295950684228,-13.941297582742246,7.947690652256746,-4.03612400741838,-2.1241158898061228,6,0,narrowband,True,,,0.015137800015509129,0.14967190008610487,0.3133527999743819,0.4782541999593377,False
1,0.192,ok,0.9849598373244872,-22.603318114747065,-10.71162336914362,9.320156681545889,-3.7802400696056293,-1.8097088422672876,6,0,narrowband,True,,,0.010959899984300137,0.13415890000760555,1.3018112999852747,1.4469697000458837,False
2,0.32,ok,0.9896791098367631,-18.826076289515708,-7.674766775727338,10.686534143759468,-3.5434210887322086,-1.4214793248260376,6,0,narrowband,True,,,0.013071299996227026,0.28887210006359965,0.7792261000722647,1.0812051999382675,False
3,0.416,ok,0.9817256223026971,-15.737530128441474,-5.531063426058284,12.038039806264939,-3.292250172289718,-1.1111184169818433,6,0,narrowband,True,,,0.01080379995983094,0.25980870006605983,0.8752858999650925,1.145964099909179,False
4,0.544,ok,0.971733733762014,-12.995801729239412,-3.937964655680745,13.39434348059996,-2.991294104228706,-0.846289324081252,6,0,narrowband,True,,,0.015399899915792048,0.17804409994278103,0.4102261000080034,0.6037048000143841,False
5,0.64,ok,0.9736005272258307,-11.339446592667933,-2.3889240416907334,14.71743743895452,-2.8513727748367197,-0.5262174224075665,6,0,narrowband,True,,,0.011369099956937134,0.14792859996668994,0.7888985000317916,0.9482406999450177,False
6,0.768,ok,0.9806308050807037,-10.10804327000535,-1.2684913123901347,16.035086711529928,-2.7586064898322498,-0.2606624124017912,6,0,narrowband,True,,,0.011933199944905937,0.1458076999988407,0.422096399939619,0.5798689000075683,False
7,0.864,ok,0.977190405660508,-8.131703678838404,-0.5080950430604121,17.401533465838085,-2.386429624459315,-0.05588701013291908,6,0,narrowband,True,,,0.011415199958719313,0.16128050000406802,0.37567519990261644,0.5484056000132114,False
8,0.992,ok,0.9764942789747273,-6.956378393158046,0.28673497448779256,18.741681263292858,-2.1867065342951233,0.19448851634403036,6,0,narrowband,True,,,0.011337700067088008,0.26634430000558496,0.5509117000037804,0.828630100004375,False
9,1.088,ok,0.9736925111368565,-6.501621908014771,1.443641948389628,20.058587813504783,-2.185962588182068,0.6087814312432293,6,0,narrowband,True,,,0.02000279992353171,0.14727179997134954,0.3744574999436736,0.5417653999757022,False
10,1.216,ok,0.9839482649974487,-5.368827883897813,2.524287279526449,21.403372742984793,-1.9114663229206323,1.0477393550882939,6,0,narrowband,True,,,0.01664899999741465,0.15088809991721064,0.3720252000493929,0.5395995000144467,False
11,1.312,ok,0.9748724061732958,-4.393281994925295,2.2807853441587573,22.76519363855107,-1.6490011560551088,1.0093698672112361,6,0,narrowband,True,,,0.013460700050927699,0.14252970006782562,0.39635930000804365,0.5523863000562415,False
12,1.44,ok,0.9744564688228488,-3.6710908650885283,2.71302801230733,24.112267175179145,-1.4470538181705457,1.2449499736566751,6,0,narrowband,True,,,0.011787199997343123,0.1343657000688836,0.3538452999200672,0.500039100064896,False
13,1.536,ok,0.9826944396468241,-2.813263493719187,4.0416516364455335,25.439032411657674,-1.1500793292163167,1.8996238259733167,6,0,narrowband,True,,,0.012591400067321956,0.14028419996611774,0.4061171000357717,0.5590276999864727,False
14,1.664,ok,0.9704352535066706,-2.7940366457845847,4.982077912087918,26.748935818334058,-1.2054505384380751,2.434573082672118,6,0,narrowband,True,,,0.017616899916902184,0.1811758999247104,0.7195756000000983,0.9184056000085548,False
15,1.76,ok,0.9870340884091777,-1.5557355163048177,5.348963959399758,28.102273045857675,-0.6632403679473191,2.732163601558277,6,0,narrowband,True,,,0.011896700016222894,0.16279189998749644,0.4224468000466004,0.5971686999546364,False
16,1.888,ok,0.9878789262316073,-1.4876416324156012,3.8659411442831955,29.515133754966914,-0.6665104048493563,2.0951866572074467,6,0,narrowband,True,,,0.01183510001283139,0.13169279997237027,0.23578990006353706,0.37934939994011074,False
17,1.984,ok,0.9773306601370363,-1.1687799361870703,5.34617355329643,30.81130320089566,-0.5286087596516069,2.9839239792923964,6,0,narrowband,True,,,0.011056799907237291,0.13290810002945364,0.5048423000844195,0.6488408999284729,False
